-37.5597618713,-37.5030237243,-37.6254645492,-37.4020598616,-36.688752647,-36.5547904601,-36.3722644235,-36.4637545881
-37.5534866988,-37.0319078708,-37.0333546944,-37.2409068875,-36.5934203736,-36.7795849199,-36.52405849,-36.5003357458
-37.5492187144,-37.2878210845,-37.3315724742,-59.7758775958,-39.8549209009,-36.5836770746,-36.7386765156,-37.0401825695
-37.636889624,-37.5167737821,-37.5539264616,-37.3815192332,-37.1281399187,-37.0883277986,-37.0289657145,-36.4943990101
-37.4938788361,-37.4311277608,-37.5737400558,-37.2629581358,-36.9921800629,-36.2215709306,-36.6567836751,-36.4647117052
-37.6936116597,-37.2502995292,-36.9410112815,-37.2746791355,-36.989177527,-37.0355760494,-36.8999948675,-36.791442838
-37.5212159028,-37.5012542041,-46.0188808574,-37.299707491,-36.7432043351,-36.8032303505,-36.4299783408,-36.7329454528
-38.0506551466,-48.644219027,-37.7714978895,-42.9757957141,-36.9501925713,-36.6724493122,-36.6322773205,-37.1568701984
-38.1729148229,-42.330119399,-37.6292471746,-70.8382870265,-37.3211836785,-36.4826776502,-36.3842965172,-38.5783311728
-37.5255658485,-37.1226544301,-37.0285180214,-37.3028449642,-37.3255280346,-36.6462667136,-37.0987669523,-36.8561530898
-37.5674230546,-37.5949625042,-43.403148789,-37.5403358773,-36.8871361095,-37.0413064898,-37.1938489014,-36.9537426723
